population_group,measure,location,sex,age,cause,metric,year,val,upper,lower
All Population,Prevalence,New York,Both,65-69 years,HIV/AIDS,Percent,1991,0.001329628805092,0.0018111159571583,0.0009718878184313
All Population,Prevalence,New York,Both,70-74 years,HIV/AIDS,Percent,1991,0.000677007618633,0.000915352849567,0.0004882718631473
All Population,Prevalence,New York,Both,75-79 years,HIV/AIDS,Percent,1991,0.0005712914822796,0.0008312734908614,0.000368364384628
All Population,Prevalence,New York,Both,80+ years,HIV/AIDS,Percent,1991,0.0001247072755247,0.0001899138880915,7.98112216375e-05
All Population,Prevalence,New York,Both,<5 years,Alcohol use disorders,Percent,1991,0.0007056862764115,0.0010348964560322,0.0004283543169161
All Population,Prevalence,New York,Both,5-9 years,Alcohol use disorders,Percent,1991,0.000593038448858,0.0008706610691776,0.0003649818343293
All Population,Prevalence,New York,Both,10-14 years,Alcohol use disorders,Percent,1991,0.0025084603403806,0.0036618787484331,0.001541033596417
All Population,Prevalence,New York,Both,15-19 years,Alcohol use disorders,Percent,1991,0.023958954129028,0.0329004241987663,0.0167202823480688
All Population,Prevalence,New York,Both,20-24 years,Alcohol use disorders,Percent,1991,0.0597214541377585,0.080486396865976,0.0412358715740513
All Population,Prevalence,New York,Both,25-29 years,Alcohol use disorders,Percent,1991,0.0597183920443071,0.0774137622428079,0.0453411115586362
All Population,Prevalence,New York,Both,30-34 years,Alcohol use disorders,Percent,1991,0.0527103843776442,0.0702904544800537,0.0364287625409412
All Population,Prevalence,New York,Both,35-39 years,Alcohol use disorders,Percent,1991,0.0487779019099475,0.0634844140049264,0.0359119023857129
All Population,Prevalence,New York,Both,40-44 years,Alcohol use disorders,Percent,1991,0.044244177826252,0.0597932824851525,0.0311387786093512
All Population,Prevalence,New York,Both,45-49 years,Alcohol use disorders,Percent,1991,0.0376404423023162,0.0474016894293673,0.0290234504449964
All Population,Prevalence,New York,Both,50-54 years,Alcohol use disorders,Percent,1991,0.0312386950199824,0.0412628778327749,0.0226400592998249
All Population,Prevalence,New York,Both,55-59 years,Alcohol use disorders,Percent,1991,0.0264241763134094,0.033247601667347,0.0205992836394177
All Population,Prevalence,New York,Both,60-64 years,Alcohol use disorders,Percent,1991,0.0218069675816779,0.0299490189295899,0.0154248229938528
All Population,Prevalence,New York,Both,65-69 years,Alcohol use disorders,Percent,1991,0.0171224312045988,0.022323942231787,0.0128341130351237
All Population,Prevalence,New York,Both,70-74 years,Alcohol use disorders,Percent,1991,0.0131235369152214,0.0175434745010082,0.0093573391124918
All Population,Prevalence,New York,Both,75-79 years,Alcohol use disorders,Percent,1991,0.0111327601298799,0.0143996860798771,0.008119195733658
All Population,Prevalence,New York,Both,80+ years,Alcohol use disorders,Percent,1991,0.0111463468849041,0.0144252168260378,0.0083600721466889
All Population,Prevalence,New York,Both,<5 years,Drug use disorders,Percent,1991,0.0,0.0,0.0
All Population,Prevalence,New York,Both,5-9 years,Drug use disorders,Percent,1991,0.0,0.0,0.0
All Population,Prevalence,New York,Both,10-14 years,Drug use disorders,Percent,1991,0.0046468044482023,0.0086879674473805,0.0018048290293386
All Population,Prevalence,New York,Both,15-19 years,Drug use disorders,Percent,1991,0.0579205162911935,0.0861017915369451,0.0373405537133814
All Population,Prevalence,New York,Both,20-24 years,Drug use disorders,Percent,1991,0.066698483361512,0.0814682760822115,0.0527755959257529
All Population,Prevalence,New York,Both,25-29 years,Drug use disorders,Percent,1991,0.0535839874381523,0.0646452105929852,0.0436855463189306
All Population,Prevalence,New York,Both,30-34 years,Drug use disorders,Percent,1991,0.0396368458681402,0.0469380049673733,0.0329208813960465
All Population,Prevalence,New York,Both,35-39 years,Drug use disorders,Percent,1991,0.0302462067686801,0.0372201315844097,0.0252150251855249
All Population,Prevalence,New York,Both,40-44 years,Drug use disorders,Percent,1991,0.0229413948326248,0.0272679147069103,0.0189283987171127
All Population,Prevalence,New York,Both,45-49 years,Drug use disorders,Percent,1991,0.0168314547467916,0.0208348468625697,0.0137373376175698
All Population,Prevalence,New York,Both,50-54 years,Drug use disorders,Percent,1991,0.0120258649986918,0.0144038162836937,0.0099126177159572
All Population,Prevalence,New York,Both,55-59 years,Drug use disorders,Percent,1991,0.0081952273529985,0.0096913654721785,0.0068230845964036
All Population,Prevalence,New York,Both,60-64 years,Drug use disorders,Percent,1991,0.0053589795340163,0.0064073453205416,0.0044104447108948
All Population,Prevalence,New York,Both,65-69 years,Drug use disorders,Percent,1991,0.0037680201324977,0.004498231914247,0.0031207624861277
All Population,Prevalence,New York,Both,70-74 years,Drug use disorders,Percent,1991,0.002815295381847,0.0034035334867218,0.0023378393907329
All Population,Prevalence,New York,Both,75-79 years,Drug use disorders,Percent,1991,0.0022526045608484,0.0027258623340996,0.0018751279944649
All Population,Prevalence,New York,Both,80+ years,Drug use disorders,Percent,1991,0.0018646637510911,0.002289151716236,0.0015464138644978
All Population,Prevalence,New York,Both,<5 years,Depressive disorders,Percent,1991,6.1251414693e-06,1.17441028936e-05,2.1856560881e-06
All Population,Prevalence,New York,Both,5-9 years,Depressive disorders,Percent,1991,0.0069419490072067,0.0105783314425502,0.0043144457630796
All Population,Prevalence,New York,Both,10-14 years,Depressive disorders,Percent,1991,0.0306704081683018,0.0409288399450464,0.0220779089030657
