age,sex,2020,2021,2022,2023,2024
80,Male,258276.1275651626,258257.18781400108,259764.4610048035,264327.6202535633,269198.0436136704
81,Female,298094.9561107174,298260.05387038353,300159.03744783055,304926.8030159855,310150.48323096306
81,Male,258276.1275651626,258257.18781400108,259764.4610048035,264327.6202535633,269198.0436136704
82,Female,298094.9561107174,298260.05387038353,300159.03744783055,304926.8030159855,310150.48323096306
82,Male,258276.1275651626,258257.18781400108,259764.4610048035,264327.6202535633,269198.0436136704
83,Female,298094.9561107174,298260.05387038353,300159.03744783055,304926.8030159855,310150.48323096306
83,Male,258276.1275651626,258257.18781400108,259764.4610048035,264327.6202535633,269198.0436136704
84,Female,298094.9561107174,298260.05387038353,300159.03744783055,304926.8030159855,310150.48323096306
84,Male,258276.1275651626,258257.18781400108,259764.4610048035,264327.6202535633,269198.0436136704
85,Female,268703.4811107174,268010.36637038353,268411.12494783057,270996.6030159855,274631.54573096306
85,Male,235440.0400651626,234888.5378140011,235287.68600480352,238073.0702535633,241691.08111367037
86,Female,268703.4811107174,268010.36637038353,268411.12494783057,270996.6030159855,274631.54573096306
86,Male,235440.0400651626,234888.5378140011,235287.68600480352,238073.0702535633,241691.08111367037
87,Female,268703.4811107174,268010.36637038353,268411.12494783057,270996.6030159855,274631.54573096306
87,Male,235440.0400651626,234888.5378140011,235287.68600480352,238073.0702535633,241691.08111367037
88,Female,268703.4811107174,268010.36637038353,268411.12494783057,270996.6030159855,274631.54573096306
88,Male,235440.0400651626,234888.5378140011,235287.68600480352,238073.0702535633,241691.08111367037
89,Female,268703.4811107174,268010.36637038353,268411.12494783057,270996.6030159855,274631.54573096306
89,Male,235440.0400651626,234888.5378140011,235287.68600480352,238073.0702535633,241691.08111367037
90,Female,268703.4811107174,268010.36637038353,268411.12494783057,270996.6030159855,274631.54573096306
90,Male,235440.0400651626,234888.5378140011,235287.68600480352,238073.0702535633,241691.08111367037
91,Female,268703.4811107174,268010.36637038353,268411.12494783057,270996.6030159855,274631.54573096306
91,Male,235440.0400651626,234888.5378140011,235287.68600480352,238073.0702535633,241691.08111367037
92,Female,268703.4811107174,268010.36637038353,268411.12494783057,270996.6030159855,274631.54573096306
92,Male,235440.0400651626,234888.5378140011,235287.68600480352,238073.0702535633,241691.08111367037
93,Female,268703.4811107174,268010.36637038353,268411.12494783057,270996.6030159855,274631.54573096306
93,Male,235440.0400651626,234888.5378140011,235287.68600480352,238073.0702535633,241691.08111367037
94,Female,268703.4811107174,268010.36637038353,268411.12494783057,270996.6030159855,274631.54573096306
